"country","bev_2024_jf","bev_2023_jf","phev_2024_jf","phev_2023_jf","hev_2024_jf","hev_2023_jf","petr_2024_jf","petr_2023_jf","dies_2024_jf","dies_2023_jf"
"Austria",6145,6160,2804,2494,8760,7422,12208,13149,7641,7519
"Belgium",19380,11320,20357,14131,8452,6606,36379,37593,5141,9455
"Bulgaria",318,345,84,27,134,94,5890,3637,1162,697
"Croatia",132,347,213,142,2671,1360,3943,3561,1826,1494
"Cyprus",170,114,116,59,1288,827,1342,1203,112,83
"Czechia",921,733,785,842,7573,5762,20570,18467,8002,7500
"Denmark",8100,5345,891,1977,3687,4731,6692,9033,696,906
"Estonia",225,135,114,57,1292,1467,843,1276,525,423
"Finland",2917,3715,2781,2456,4018,4135,1536,2286,651,619
"France",45842,34224,22281,20794,75037,55172,89822,90461,19841,27266
"Germany",49953,50611,28969,20769,106894,88983,158830,145279,83089,77663
"Greece",1031,668,1323,944,9031,5348,9649,9034,2883,3997
"Hungary",1115,1001,992,913,8814,7400,5826,6651,2005,1910
"Ireland",5962,5885,3798,3149,10942,8936,15784,13050,11387,9446
"Italy",7968,8188,8747,11690,109270,94858,89240,68611,43370,48322
"Latvia",164,274,58,43,864,961,844,1038,432,540
"Lithuania",232,267,0,0,2111,1643,1403,1758,384,413
"Luxembourg",1721,1469,774,699,1847,1474,2416,2687,1152,1574
"Malta",168,153,114,217,214,134,350,303,136,80
"Netherlands",17004,11914,9286,8351,19178,14203,18430,25139,527,675
"Poland",2493,2182,2385,1807,42027,28731,32800,32404,6406,6464
"Portugal",5842,4849,4733,3327,3956,4106,15343,12159,3712,4997
"Romania",2740,2113,0,0,7951,6602,7658,9318,3513,2691
"Slovakia",407,184,409,284,4767,3628,7186,6760,2513,2138
"Slovenia",555,581,223,175,967,922,5434,4747,1487,1329
"Spain",7180,6249,10141,8921,55076,43522,56642,57370,15815,18439
"Sweden",10165,10325,8564,7266,3713,3414,8737,7575,3301,3640
"Iceland",266,665,186,294,167,263,68,193,167,247
"Norway",11364,7420,241,702,476,669,120,144,301,362
"Switzerland",5666,5478,3230,3071,9711,8538,11439,13138,4271,4349
"UK",35926,29607,18042,13832,73575,63087,92815,91281,7404,8628
